county,station,year,avg_year_temp,avg_year_dewpt,avg_year_vappr,avg_year_msl
Dublin,DUBLIN AIRPORT,2000,9.406022315031471,6.454861108492721,10.022836978155407,1011.2130573460313
Donegal,FINNER,2000,9.843186862789757,7.120433421554691,10.57877254486084,1009.9685153627324
Mayo,CLAREMORRIS,2001,9.082591323278946,6.768408114225795,10.170812352117338,1013.7963611341503
Mayo,BELMULLET,2001,10.204885846462322,7.878139270018769,11.034897264715744,1013.3855707386313
Cork,CORK AIRPORT,2001,9.889121004791939,7.1312899542878885,10.546324202622452,1014.7712672542764
Dublin,CASEMENT,2001,9.625605025446069,6.87891553141704,10.408984022080626,1014.0747828374715
Clare,SHANNON AIRPORT,2001,10.637545667268915,7.818458909072731,11.046187217758126,1014.2663922801954
Cork,ROCHES POINT,2001,10.626938160713443,7.875092293079521,11.213622200582563,1014.5634242587228
Kerry,VALENTIA OBSERVATORY,2001,10.877682654416724,7.8902283088469956,11.111244296401603,1014.9445208127096
Donegal,MALIN HEAD,2001,9.771837899432471,6.9030251153825555,10.350057081163746,1012.8997489058264
Westmeath,MULLINGAR,2001,9.144417812653975,6.686837902452507,10.27287671819125,1014.1201141845146
Dublin,DUBLIN AIRPORT,2001,9.371392699526666,6.336837902992589,10.015764837259571,1014.1984132601245
Mayo,KNOCK AIRPORT,2001,8.36742009267245,6.1756621007420565,9.883949770176248,1013.8006162251512
Donegal,FINNER,2001,10.032929599499234,7.19373505262535,10.57877254486084,1013.7552959985833
Mayo,CLAREMORRIS,2002,9.605205486053984,7.226712331229387,10.50179767355527,1010.8643678360334
Cork,CORK AIRPORT,2002,10.03912100591633,7.515605027030422,10.715867583392418,1012.3041776195508
Dublin,CASEMENT,2002,10.205719179002628,7.592979456245321,10.778013706697177,1011.6110847438307
Mayo,BELMULLET,2002,10.515388122513958,8.262773976016568,11.208698630931714,1010.1380366146836
Clare,SHANNON AIRPORT,2002,10.923732876335377,8.191347033884291,11.196347034739578,1011.502774068754
Kerry,VALENTIA OBSERVATORY,2002,11.104257998631663,8.27390410673962,11.260742017994188,1012.2084703279957
Cork,ROCHES POINT,2002,10.8857439004403,8.357358363311599,11.288689995789406,1012.1087518917806
Westmeath,MULLINGAR,2002,9.689337906607141,7.102294522114779,10.437922377727892,1011.5094747604301
Donegal,MALIN HEAD,2002,10.165878998989145,7.53503424574251,10.698904116839579,1009.9976825940555
Dublin,DUBLIN AIRPORT,2002,9.985342468704909,6.991712330721454,10.340388136503359,1011.7689613307448
Mayo,KNOCK AIRPORT,2002,8.700924662620544,6.544668950563186,10.040456627819635,1010.8265291048511
Donegal,FINNER,2002,10.002427012172054,7.2138620737443455,10.57877254486084,1009.9762103867595
Dublin,CASEMENT,2003,10.226826484276824,7.286769412909571,10.674337894677027,1014.9742125071347
Mayo,CLAREMORRIS,2003,9.648059359876669,7.217180363837306,10.640654831253775,1014.2980823743289
Mayo,BELMULLET,2003,10.80529680176974,8.162123290733456,11.230673518627201,1013.533835542583
Cork,CORK AIRPORT,2003,10.03135844940005,7.4669178114736185,10.74878995772366,1015.4735840470823
Cork,ROCHES POINT,2003,10.976698922511277,8.275420411758724,11.386091633673447,1015.5007949333481
Clare,SHANNON AIRPORT,2003,11.101084472359792,8.13505707890833,11.253413248715335,1014.8444969908832
Kerry,VALENTIA OBSERVATORY,2003,11.414714613730368,8.102557078547367,11.240890417251412,1015.0683902339848
Carlow,OAK PARK,2003,9.989201797939101,7.159038242278405,10.5061001202223,1014.54035966749
Cork,MOORE PARK,2003,9.8565194678486,7.348284808015165,10.659050491647868,1014.989931360638
Westmeath,MULLINGAR,2003,9.620034248497523,6.80718036880419,10.342545667195429,1014.9343949618404
Donegal,MALIN HEAD,2003,10.35535388332813,7.36745434075543,10.665068499791568,1013.330959365357
Dublin,DUBLIN AIRPORT,2003,9.944121008675937,6.795353886414507,10.306974885670561,1015.1651940820424
Donegal,FINNER,2003,10.079444538137508,7.073936525079082,10.57877254486084,1013.7924044607084
Mayo,KNOCK AIRPORT,2003,8.835399549879712,6.6102968047776995,10.16649543773638,1014.3438586230692
Cavan,BALLYHAISE,2004,9.967761993408203,7.229586601257324,10.57877254486084,1013.255126953125
Dublin,CASEMENT,2004,10.036919394438453,7.417110664203411,10.739765485589187,1014.427003912587
Cork,CORK AIRPORT,2004,10.002607010505102,7.472165303650009,10.721732693454607,1015.6225864570215
Mayo,CLAREMORRIS,2004,9.624339709066886,7.227838070433797,10.53471980676842,1014.2234815587111
Mayo,BELMULLET,2004,10.762306466239771,8.295081970829836,11.274112024593874,1013.6075364270931
Kerry,VALENTIA OBSERVATORY,2004,11.202937163569487,8.01586976397752,11.114389804190191,1015.7140709784948
Clare,SHANNON AIRPORT,2004,10.688968581899845,7.189549182370333,10.459608383571732,1014.9889570976216
Cork,ROCHES POINT,2004,10.93458429996277,8.229584299281722,11.294943245040903,1015.556708799719
Cork,SherkinIsland,2004,12.468548074407575,9.863859446428043,12.435796925643126,1015.8896432469785
Westmeath,MULLINGAR,2004,9.537215393238474,6.827515938918943,10.31239754580409,1014.5019127823182
Galway,MACE HEAD,2004,11.727839826530866,8.889294467823799,11.685399068859935,1012.7724683362046
Donegal,MALIN HEAD,2004,10.307775502559645,7.683515486668775,10.832194907254861,1012.5208333541786
Mayo,NEWPORT,2004,9.967761993408203,7.229586601257324,10.57877254486084,1013.255126953125
Cork,MOORE PARK,2004,9.88886868290498,7.1314711320860305,10.489270636319898,1014.9850744584436
Carlow,OAK PARK,2004,9.864313954916632,6.871597940056417,10.336827634299388,1014.9121877187371
